"","elgcoal","elgngas","elghydr","elgnuc","elgsun","elgwind","elgbio","inctxff","sbsrnen","banhhap","clmchng","wrclmch","ccnthum","gvsrdcc","lkredcc","lklmten","ownrdcc","psppipla","stfdem","trstplt","trstep","prtvtbit","lrscale","gndr","yrbrn","region","edlvdit","hinctnta"
"12",5,1,4,5,1,1,1,5,1,1,"Changing","Moderately worried","Equally","Likely","Likely","Unlikely","Very unlikely","A great deal","Not at all","Not at all","Not at all","dx","Far right",1,"63>","North","Superior","Low"
"13",5,4,3,5,1,1,4,4,2,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Possible","Very unlikely","A great deal","A bit","Very little","Neutral","csx","Center-right",2,"63>","South/Isles","Superior","Low"
"14",4,3,1,5,1,4,2,2,2,3,"Changing","Worried","Equally","Very unlikely","Unlikely","Unlikely","Unlikely","A great deal","Very little","Little","Little","cdx","Center-right",2,"63-31","South/Isles","Superior","Very high"
"15",5,5,5,5,1,1,1,1,1,1,"Changing","Worried","Anthropic","Unlikely","Unlikely","Unlikely","Possible","A lot","A bit","Neutral","A bit","csx","Left",2,"63-31","North","Elementary","Medium"
"16",4,2,2,4,2,2,2,1,2,2,"Changing","Worried","Equally","Very likely","Very likely","Likely","Very likely","A lot","Little","Not at all","Very little","dx","Right",2,"63-31","North","Elementary","Low"
"17",3,2,1,5,1,1,2,4,3,1,"Changing","Moderately worried","Anthropic","Unlikely","Possible","Unlikely","Very unlikely","A lot","Neutral","Not at all","Little","center","Center",2,"63-31","North","Superior","Low"
"18",4,2,2,5,1,1,3,4,2,2,"Changing","Not worried","Equally","Very likely","Unlikely","Not at all","Not at all","A great deal","Very","A bit","Very","csx","Center",1,"63>","North","High school","Very high"
"19",3,2,2,4,2,3,2,3,2,3,"Changing","Moderately worried","Equally","Very likely","Unlikely","Unlikely","Unlikely","A great deal","Very little","Little","Not at all","center","Right",2,"63-31","North","University","High"
"20",5,3,1,5,1,1,4,4,2,4,"Changing","Worried","Anthropic","Unlikely","Possible","Possible","Unlikely","A great deal","Neutral","Little","Neutral","m5s","Center",1,"63-31","Center","Elementary","Medium"
"21",3,2,2,2,1,1,1,4,2,3,"Changing","Moderately worried","Equally","Very unlikely","Very unlikely","Very unlikely","Very unlikely","A great deal","Little","Very little","Little","dx","Center-right",2,"63-31","North","High school","Medium"
"22",5,4,4,5,2,2,3,2,2,1,"Changing","Moderately worried","Anthropic","Unlikely","Likely","Unlikely","Likely","A lot","Neutral","Little","Neutral","cdx","Center-right",1,"63-31","North","University","High"
"23",5,3,4,5,1,2,3,2,2,2,"Changing","Moderately worried","Anthropic","Possible","Very likely","Unlikely","Likely","A lot","A bit","Little","A bit","csx","Center-left",2,"63-31","North","Elementary","Medium"
"24",4,2,1,4,2,2,4,1,1,2,"Changing","Worried","Anthropic","Very likely","Likely","Very likely","Possible","Some","Little","Not at all","Very","csx","Center-left",2,"63-31","Center","Superior","High"
"25",4,2,2,3,1,2,2,3,2,1,"Changing","Moderately worried","Equally","Unlikely","Unlikely","Likely","Likely","A lot","Little","Very little","Neutral","csx","Center-right",1,"63-31","Center","University","Very high"
"26",3,3,2,2,1,1,2,5,2,3,"Changing","Not worried","Equally","Possible","Likely","Likely","Likely","A lot","Neutral","Very little","Little","dx","Right",1,"30-18","Center","Superior","Low"
"27",5,1,1,5,1,1,1,2,1,1,"Changing","Worried","Anthropic","Likely","Unlikely","Possible","Very unlikely","A great deal","A bit","Very little","Little","m5s","Center-left",1,"63-31","North","Superior","High"
"28",5,2,2,5,2,3,2,3,2,3,"Changing","Moderately worried","Equally","Unlikely","Possible","Very unlikely","Very unlikely","A lot","Little","Not at all","Very little","cdx","Center-right",1,"63>","South/Isles","University","Very high"
"29",5,4,3,5,1,2,4,4,1,2,"Changing","Moderately worried","Anthropic","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Some","A bit","Neutral","Little","csx","Left",1,"63>","Center","University","Very low"
"30",5,4,2,5,1,1,1,4,1,2,"Changing","Worried","Anthropic","Very unlikely","Very likely","Very unlikely","Possible","A great deal","Very little","Not at all","Neutral","m5s","Center",1,"30-18","Center","High school","Medium"
"31",4,3,1,4,1,1,1,2,1,1,"Changing","Moderately worried","Equally","Very unlikely","Likely","Unlikely","Likely","A lot","Very little","Not at all","Little","csx","Center-left",1,"63-31","Center","Doctorate","Medium"
"32",4,2,1,5,1,1,1,4,1,4,"Changing","Worried","Natural","Very unlikely","Possible","Unlikely","Unlikely","A great deal","A bit","Little","Neutral","m5s","Center-left",1,"30-18","South/Isles","High school","Low"
"33",4,3,1,3,1,1,2,4,1,1,"Changing","Moderately worried","Equally","Possible","Likely","Possible","Likely","A lot","Neutral","A bit","Neutral","cdx","Center-right",1,"63>","Center","University","Very high"
"34",3,2,2,2,1,1,2,5,1,3,"Changing","Moderately worried","Equally","Likely","Likely","Likely","Possible","A lot","Neutral","Very little","Very little","dx","Center-right",1,"63>","North","Elementary","High"
"35",4,2,1,1,1,1,1,2,2,4,"Changing","Worried","Equally","Unlikely","Very likely","Unlikely","Likely","A lot","Little","Very little","A bit","csx","Center",2,"63-31","South/Isles","University","Very low"
"36",4,3,2,5,2,2,3,4,2,1,"Changing","Moderately worried","Equally","Unlikely","Possible","Unlikely","Unlikely","A lot","A bit","A bit","A bit","csx","Left",2,"63-31","North","High school","High"
"37",5,2,1,5,1,1,1,1,2,1,"Changing","Worried","Anthropic","Very likely","Very likely","Very likely","Likely","Some","Very","Very","Extremely","csx","Left",1,"30-18","Center","Doctorate","High"
"38",5,4,1,5,1,1,5,3,1,1,"Changing","Worried","Anthropic","Likely","Very likely","Possible","Very likely","A lot","A bit","Not at all","A bit","sx","Center",1,"63-31","North","Superior","High"
"39",5,3,1,5,1,3,4,5,2,1,"Changing","Worried","Anthropic","Likely","Very likely","Unlikely","Very likely","A lot","A bit","Neutral","A bit","csx","Center",2,"63-31","South/Isles","Superior","Very high"
"40",3,5,2,5,1,2,2,2,4,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Unlikely","Possible","A great deal","Not at all","Very little","A bit","m5s","Center-left",1,"63-31","South/Isles","Superior","Low"
"41",4,2,2,3,1,1,1,2,1,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Likely","Likely","A lot","Neutral","Very little","A bit","m5s","Center-left",1,"63-31","South/Isles","Elementary","Low"
"42",5,5,5,5,1,1,55,1,1,1,"Changing","Worried","Anthropic","Unlikely","Unlikely","Unlikely","Unlikely","A lot","Very","Neutral","A bit","csx","Center-left",2,"63-31","North","High school","High"
"43",3,2,2,1,2,2,1,2,2,3,"Changing","Worried","Anthropic","Possible","Unlikely","Unlikely","Likely","A great deal","Neutral","Neutral","A bit","m5s","Center",2,"63>","North","Elementary","Low"
"44",5,5,1,55,1,1,1,4,2,2,"Changing","Moderately worried","Anthropic","Very likely","Very likely","Unlikely","Possible","A great deal","Neutral","Neutral","Neutral","csx","Center-left",1,"63>","South/Isles","Superior","Very low"
"45",3,2,1,2,1,1,1,5,1,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Very unlikely","Very unlikely","A great deal","Little","Very little","Very little","csx","Right",1,"30-18","South/Isles","Superior","Low"
"46",4,3,2,4,1,1,2,4,2,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Likely","Likely","A lot","Little","Very little","Very little","m5s","Center-right",1,"63-31","North","Elementary","Low"
"47",4,2,1,3,1,1,2,5,3,5,"Changing","Moderately worried","Equally","Likely","Unlikely","Unlikely","Unlikely","A lot","Little","Very little","Neutral","csx","Center-left",1,"30-18","South/Isles","Superior","Low"
"48",4,4,4,5,1,1,3,5,1,1,"Changing","Worried","Anthropic","Very likely","Likely","Unlikely","Likely","A lot","A bit","Very little","A bit","csx","Left",2,"63-31","North","Elementary","Medium"
"49",4,2,2,4,2,4,4,2,1,3,"Changing","Not worried","Anthropic","Very unlikely","Very unlikely","Possible","Unlikely","A lot","A bit","Very little","Very little","csx","Center-left",1,"63-31","North","Superior","Medium"
"50",4,1,1,5,1,2,1,5,2,2,"Changing","Moderately worried","Equally","Possible","Likely","Very likely","Likely","A lot","A bit","Little","A bit","csx","Center-left",1,"63-31","North","High school","High"
"51",5,3,1,1,1,1,4,1,1,2,"Changing","Worried","Anthropic","Not at all","Very likely","Not at all","Likely","A great deal","Not at all","Very little","Not at all","dx","Far right",1,"63-31","Center","Superior","Low"
"52",3,2,2,4,1,3,4,3,2,2,"Changing","Worried","Anthropic","Unlikely","Likely","Unlikely","Unlikely","A great deal","A bit","Neutral","Neutral","csx","Center-left",2,"63-31","North","Superior","High"
"53",5,2,1,1,1,1,2,1,1,1,"Changing","Moderately worried","Anthropic","Possible","Unlikely","Unlikely","Likely","A lot","A bit","Little","Little","csx","Left",2,"63>","Center","University","Medium"
"54",4,55,3,55,1,1,1,4,2,2,"Changing","Worried","Equally","Very unlikely","Unlikely","Very unlikely","Very unlikely","A great deal","Not at all","Not at all","Not at all","m5s","Center-right",1,"30-18","South/Isles","Elementary","High"
"55",5,3,2,5,1,1,1,5,1,5,"Changing","Moderately worried","Anthropic","Very unlikely","Very likely","Unlikely","Likely","A lot","A bit","Very little","Little","csx","Center-left",1,"63-31","Center","Superior","Low"
"56",4,3,3,5,1,3,3,4,4,2,"Changing","Moderately worried","Anthropic","Very likely","Very likely","Very likely","Very likely","A great deal","Not at all","Not at all","Not at all","cdx","Far right",2,"63>","South/Isles","Elementary","Very low"
"57",4,2,1,5,1,1,55,2,1,2,"Changing","Worried","Anthropic","Not at all","Likely","Very unlikely","Possible","A lot","Little","Not at all","Not at all","dx","Right",1,"30-18","South/Isles","Superior","Very low"
"58",4,3,1,3,1,1,3,3,3,2,"Changing","Worried","Equally","Very unlikely","Likely","Unlikely","Likely","A great deal","Little","Neutral","Very little","dx","Center-right",1,"63-31","North","University","Very high"
"59",5,1,1,5,1,1,1,1,2,2,"Changing","Worried","Anthropic","Possible","Very likely","Likely","Very likely","A lot","A bit","A bit","A bit","csx","Left",1,"63-31","Center","Doctorate","Very high"
"60",3,3,3,5,1,1,3,3,1,1,"Changing","Worried","Anthropic","Very likely","Likely","Very likely","Likely","A lot","Neutral","Little","A bit","cdx","Right",2,"63-31","South/Isles","Elementary","Very low"
"61",5,5,5,5,2,2,2,4,4,1,"Changing","Worried","Anthropic","Very unlikely","Unlikely","Very unlikely","Very unlikely","A great deal","Not at all","Not at all","Very little","m5s","Left",1,"63-31","South/Isles","Elementary","Low"
"62",5,2,2,5,1,1,55,3,3,3,"Changing","Moderately worried","Anthropic","Very unlikely","Unlikely","Very unlikely","Unlikely","A great deal","Little","Very little","Very little","csx","Center-left",2,"63-31","Center","Elementary","Low"
"63",2,3,1,5,1,1,4,5,2,2,"Changing","Worried","Anthropic","Unlikely","Very likely","Very likely","Likely","A great deal","Little","Not at all","Very","csx","Right",1,"63>","Center","Elementary","Very low"
"64",5,5,3,5,2,1,3,4,1,1,"Changing","Moderately worried","Equally","Possible","Not at all","Very unlikely","Possible","A great deal","Not at all","Not at all","Neutral","m5s","Center-right",2,"63-31","South/Isles","Elementary","Low"
"65",5,3,1,5,1,1,3,1,1,1,"Changing","Moderately worried","Equally","Likely","Unlikely","Unlikely","Likely","A lot","Little","Little","Neutral","m5s","Right",2,"63-31","North","High school","High"
"66",2,2,2,55,1,2,2,2,2,1,"Changing","Worried","Anthropic","Very likely","Very likely","Very likely","Very likely","A lot","A bit","Little","Neutral","cdx","Center-right",2,"63-31","South/Isles","Superior","Very low"
"67",5,2,3,5,2,3,3,2,1,2,"Changing","Moderately worried","Equally","Likely","Very likely","Likely","Likely","Some","Neutral","A bit","A bit","dx","Center-right",2,"63>","North","Superior","High"
"68",5,3,3,5,1,1,1,1,1,1,"Changing","Worried","Anthropic","Possible","Very unlikely","Unlikely","Very likely","Some","Very","Neutral","Very","csx","Center-left",2,"63>","North","Elementary","Medium"
"69",5,4,1,5,1,1,55,1,2,1,"Changing","Worried","Equally","Likely","Likely","Very unlikely","Possible","A lot","Little","A bit","A bit","m5s","Center-left",1,"30-18","South/Isles","High school","Low"
"70",2,1,3,2,1,2,3,4,1,2,"Changing","Moderately worried","Natural","Possible","Likely","Likely","Likely","A lot","A bit","A bit","Neutral","csx","Left",2,"63>","North","Elementary","Low"
"71",5,2,1,5,1,2,2,2,2,2,"Changing","Moderately worried","Anthropic","Possible","Unlikely","Possible","Unlikely","A lot","Little","Very little","Very little","cdx","Right",1,"63-31","South/Isles","High school","Low"
"72",5,1,1,5,1,1,1,3,1,3,"Changing","Moderately worried","Anthropic","Very unlikely","Unlikely","Unlikely","Possible","A great deal","Little","Little","Very little","center","Center-right",1,"63-31","Center","Superior","Medium"
"73",5,2,1,5,1,1,1,3,2,1,"Changing","Worried","Anthropic","Likely","Unlikely","Likely","Possible","Some","Very","A bit","Very","csx","Center-left",1,"63-31","Center","Superior","Low"
"74",5,3,3,5,2,4,5,4,1,1,"Changing","Worried","Anthropic","Possible","Likely","Possible","Very likely","Some","Very","A bit","Very","csx","Far left",2,"63>","North","Elementary","Medium"
"75",3,2,1,5,1,1,55,3,3,3,"Changing","Moderately worried","Anthropic","Not at all","Unlikely","Very unlikely","Unlikely","A great deal","Neutral","Little","Little","csx","Center-left",2,"63>","Center","Elementary","Low"
"76",5,4,1,5,1,1,1,4,1,1,"Changing","Worried","Anthropic","Not at all","Possible","Not at all","Likely","A great deal","Not at all","Not at all","Not at all","m5s","Far right",1,"30-18","North","Superior","Medium"
"77",1,2,1,2,1,1,2,5,2,4,"Changing","Moderately worried","Anthropic","Possible","Likely","Possible","Likely","A lot","A bit","Very little","Very little","csx","Center",1,"30-18","North","High school","Very low"
"78",5,4,1,5,1,1,4,1,1,1,"Changing","Worried","Anthropic","Likely","Likely","Unlikely","Possible","A great deal","Little","Little","A bit","csx","Center-left",2,"63-31","Center","University","Very high"
"79",2,2,1,5,1,1,1,3,2,2,"Changing","Worried","Anthropic","Likely","Possible","Possible","Possible","Some","Very","A bit","Very","csx","Left",1,"30-18","South/Isles","High school","Very high"
"80",3,3,2,4,1,2,3,3,2,3,"Changing","Moderately worried","Equally","Possible","Possible","Unlikely","Likely","A lot","A bit","A bit","A bit","m5s","Center-right",1,"63>","North","Elementary","Medium"
"81",5,4,2,5,1,1,3,2,1,1,"Changing","Moderately worried","Equally","Likely","Likely","Likely","Likely","A lot","Very","Neutral","A bit","csx","Center-left",1,"63>","North","Elementary","Medium"
"82",5,3,2,5,1,3,2,4,3,2,"Changing","Moderately worried","Anthropic","Unlikely","Likely","Possible","Possible","A lot","A bit","Very little","Little","dx","Center",1,"63>","South/Isles","Elementary","Low"
"83",5,2,2,5,1,1,1,5,1,2,"Changing","Moderately worried","Equally","Likely","Very unlikely","Very unlikely","Not at all","A great deal","A bit","Very little","A bit","csx","Center-left",1,"63-31","Center","University","Very high"
"84",2,1,1,2,1,1,2,4,1,1,"Not changing","Not worried","Natural","Very unlikely","Very likely","Very unlikely","Likely","A lot","Little","Neutral","Neutral","m5s","Far right",1,"63-31","South/Isles","Elementary","Low"
"85",5,2,1,5,1,1,4,2,1,1,"Changing","Worried","Anthropic","Likely","Likely","Likely","Likely","A great deal","A bit","Very little","Little","m5s","Center",2,"63>","Center","Elementary","Very low"
"86",4,2,1,5,1,1,1,2,1,1,"Changing","Worried","Anthropic","Extremely","Very likely","Very likely","Extremely","A lot","Neutral","Very little","A bit","csx","Center",1,"30-18","Center","University","High"
"87",5,1,1,5,1,1,1,2,1,1,"Changing","Worried","Anthropic","Likely","Very likely","Unlikely","Very likely","A lot","A bit","A bit","A bit","m5s","Center-left",1,"63-31","Center","Superior","High"
"88",3,1,1,3,1,1,1,4,2,1,"Changing","Worried","Anthropic","Likely","Likely","Unlikely","Possible","Some","Little","Very little","Neutral","cdx","Right",1,"63-31","South/Isles","Superior","Medium"
"89",5,2,2,5,1,1,3,2,1,3,"Changing","Moderately worried","Anthropic","Very unlikely","Unlikely","Possible","Unlikely","A great deal","Little","Not at all","Little","dx","Center",1,"63-31","North","Superior","Medium"
"90",3,2,1,4,1,1,5,3,2,3,"Changing","Moderately worried","Equally","Not at all","Possible","Very unlikely","Very unlikely","A great deal","Little","Very little","Little","csx","Left",2,"30-18","South/Isles","Superior","Medium"
"91",5,1,1,5,1,1,1,3,1,1,"Changing","Worried","Anthropic","Likely","Very likely","Possible","Likely","A lot","Very","A bit","Very","csx","Center-left",1,"63-31","Center","University","Very high"
"92",5,5,2,5,1,1,3,2,1,2,"Changing","Moderately worried","Anthropic","Unlikely","Very unlikely","Very unlikely","Very unlikely","A great deal","Very","Very little","A bit","csx","Far left",1,"63>","North","Elementary","High"
"93",1,1,1,5,1,5,1,5,1,2,"Changing","Worried","Anthropic","Possible","Extremely","Unlikely","Extremely","A lot","Not at all","Not at all","Not at all","csx","Far left",1,"63-31","South/Isles","High school","Low"
"94",5,2,2,5,2,3,3,3,2,2,"Changing","Moderately worried","Equally","Likely","Unlikely","Unlikely","Likely","A lot","A bit","A bit","A bit","cdx","Center-right",1,"63-31","North","Superior","Low"
"95",5,2,1,5,1,1,5,2,1,2,"Changing","Moderately worried","Equally","Likely","Possible","Likely","Unlikely","Some","Extremely","Little","A bit","csx","Far left",2,"63-31","South/Isles","University","High"
"96",5,2,2,5,1,1,1,5,1,3,"Changing","Worried","Anthropic","Not at all","Unlikely","Not at all","Possible","A great deal","Little","Little","Neutral","csx","Center-left",1,"63-31","Center","Superior","Medium"
"97",5,2,2,5,1,2,2,4,2,2,"Changing","Worried","Equally","Unlikely","Likely","Unlikely","Unlikely","A lot","Very little","Not at all","Neutral","m5s","Center-right",1,"63>","North","Elementary","High"
"98",5,4,1,5,1,1,1,4,1,1,"Changing","Moderately worried","Anthropic","Not at all","Likely","Unlikely","Unlikely","A great deal","Not at all","Not at all","Not at all","m5s","Far right",2,"63-31","North","Superior","Low"
"99",5,5,1,5,5,1,5,5,2,3,"Not changing","Not worried","Natural","Likely","Not at all","Not at all","Not at all","A great deal","Little","Not at all","Not at all","m5s","Left",1,"63-31","North","Elementary","High"
"100",5,4,1,3,1,1,1,3,1,2,"Changing","Moderately worried","Anthropic","Unlikely","Unlikely","Likely","Very unlikely","A lot","Very little","Not at all","Not at all","cdx","Right",1,"63-31","North","Superior","High"
"101",5,1,1,1,1,1,1,2,2,2,"Changing","Worried","Anthropic","Unlikely","Possible","Possible","Unlikely","A great deal","Very little","Not at all","Not at all","m5s","Center",1,"63-31","North","High school","Medium"
"102",2,2,2,4,1,1,1,4,2,4,"Changing","Worried","Equally","Very unlikely","Possible","Very unlikely","Very unlikely","A great deal","Very little","Very little","Very little","cdx","Center",2,"63-31","Center","High school","Low"
"103",4,4,1,5,1,1,55,5,1,2,"Changing","Not worried","Anthropic","Likely","Likely","Unlikely","Likely","A lot","Very little","Little","Little","m5s","Center-left",1,"63-31","South/Isles","Elementary","Very low"
"104",4,4,3,5,2,2,2,2,2,2,"Changing","Worried","Equally","Possible","Very likely","Unlikely","Unlikely","A lot","Neutral","Little","Neutral","csx","Far left",2,"63-31","North","Superior","Very high"
"105",4,3,2,5,2,2,2,3,2,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Possible","Likely","A lot","Neutral","Neutral","Little","m5s","Center-right",2,"63-31","North","High school","Medium"
"106",5,5,4,5,1,1,1,1,1,1,"Changing","Moderately worried","Anthropic","Likely","Likely","Unlikely","Very likely","Some","Very","A bit","Very","csx","Center-left",2,"63-31","North","University","Very high"
"107",5,3,4,1,1,1,4,5,2,1,"Changing","Worried","Anthropic","Possible","Very likely","Not at all","Very unlikely","A great deal","Not at all","Not at all","Not at all","cdx","Center",1,"63-31","Center","Superior","Medium"
"108",5,2,1,4,1,1,3,5,5,2,"Changing","Moderately worried","Equally","Unlikely","Very unlikely","Very unlikely","Not at all","A great deal","Neutral","Not at all","Very little","cdx","Center-right",2,"63-31","Center","High school","Low"
"109",5,3,1,5,1,1,1,1,1,1,"Changing","Worried","Anthropic","Possible","Likely","Very likely","Likely","A lot","Very","Very","Extremely","m5s","Left",1,"63-31","Center","University","High"
"110",5,2,1,5,1,1,1,5,2,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Possible","Very likely","A lot","Neutral","Neutral","A bit","m5s","Center-left",1,"30-18","North","High school","High"
"111",4,4,3,5,1,1,3,5,5,1,"Changing","Moderately worried","Equally","Likely","Likely","Unlikely","Unlikely","A lot","Very little","Not at all","Very little","cdx","Right",1,"30-18","South/Isles","Elementary","Very low"
"112",5,3,2,5,1,1,2,5,5,5,"Changing","Moderately worried","Equally","Likely","Possible","Likely","Possible","A lot","Little","A bit","Little","csx","Center",1,"63-31","South/Isles","Elementary","Medium"
"113",3,3,3,5,4,4,4,3,2,2,"Changing","Worried","Anthropic","Likely","Likely","Likely","Unlikely","A great deal","Neutral","Not at all","A bit","cdx","Right",1,"30-18","South/Isles","Superior","Medium"
"114",5,3,3,5,3,4,3,4,1,3,"Changing","Moderately worried","Equally","Unlikely","Unlikely","Unlikely","Unlikely","A lot","Very","Little","Very","csx","Center-left",1,"30-18","Center","University","High"
"115",5,2,2,5,2,2,2,5,3,3,"Changing","Not worried","Anthropic","Unlikely","Likely","Unlikely","Likely","A great deal","Very little","Not at all","Very little","m5s","Center-left",1,"63>","North","Elementary","Low"
"116",3,2,2,5,2,1,2,4,1,2,"Changing","Worried","Anthropic","Unlikely","Likely","Unlikely","Unlikely","A great deal","Little","Not at all","A bit","cdx","Right",1,"63-31","South/Isles","Elementary","Very low"
"117",4,4,2,5,2,2,3,4,3,4,"Changing","Moderately worried","Anthropic","Possible","Likely","Unlikely","Possible","A lot","Little","Very little","Very little","cdx","Right",1,"63-31","South/Isles","High school","Very low"
"118",5,2,1,5,1,1,1,1,1,1,"Changing","Moderately worried","Anthropic","Unlikely","Likely","Unlikely","Possible","A great deal","A bit","Little","Little","csx","Center-left",1,"30-18","Center","Superior","High"
"119",4,1,1,3,1,1,4,5,1,1,"Changing","Moderately worried","Natural","Very likely","Likely","Likely","Unlikely","A great deal","Neutral","Little","Little","csx","Center-left",1,"63-31","South/Isles","Elementary","Low"
"120",5,1,1,5,1,1,1,1,2,1,"Changing","Moderately worried","Equally","Unlikely","Very unlikely","Unlikely","Unlikely","A great deal","Little","Little","Little","m5s","Center-left",1,"63-31","Center","Superior","Very low"
"121",3,2,1,5,1,1,3,5,5,1,"Changing","Worried","Anthropic","Possible","Unlikely","Likely","Unlikely","A lot","Very little","Not at all","Very little","dx","Center-right",2,"63>","North","Elementary","Low"
"122",5,1,1,5,1,3,3,2,1,1,"Changing","Worried","Anthropic","Likely","Likely","Unlikely","Likely","A lot","Neutral","A bit","A bit","m5s","Center",2,"63-31","North","University","Low"
"123",5,3,4,3,2,3,3,2,3,2,"Changing","Moderately worried","Anthropic","Likely","Possible","Likely","Not at all","A lot","Little","Very little","Very little","dx","Center-right",1,"63-31","North","University","High"
"124",4,55,2,4,1,1,4,3,1,3,"Changing","Worried","Equally","Likely","Likely","Possible","Likely","Some","A bit","A bit","Very","cdx","Right",2,"63-31","South/Isles","Superior","Very low"
"125",3,2,3,3,2,2,3,4,2,3,"Changing","Moderately worried","Equally","Possible","Very likely","Possible","Possible","A lot","A bit","A bit","A bit","m5s","Center-right",2,"63>","North","Elementary","High"
"126",3,3,4,4,2,3,2,5,2,2,"Changing","Worried","Equally","Very unlikely","Very likely","Unlikely","Possible","A lot","Very little","Very little","Neutral","m5s","Center-left",1,"63-31","South/Isles","Superior","Low"
"127",4,3,2,3,4,3,3,3,2,2,"Not changing","Moderately worried","Anthropic","Unlikely","Very likely","Very likely","Likely","A lot","A bit","A bit","A bit","dx","Center-right",1,"63-31","North","Superior","High"
"128",5,4,3,5,1,1,4,5,4,1,"Changing","Moderately worried","Equally","Unlikely","Possible","Unlikely","Unlikely","A great deal","Little","Not at all","Not at all","m5s","Center",1,"63-31","South/Isles","Superior","Medium"
"129",3,2,3,2,3,2,3,4,4,4,"Changing","Worried","Anthropic","Possible","Likely","Possible","Likely","A lot","Not at all","Not at all","Very little","cdx","Far right",1,"63-31","Center","Elementary","High"
"130",5,4,1,55,1,1,1,4,1,1,"Changing","Worried","Anthropic","Not at all","Extremely","Not at all","Likely","A great deal","Not at all","Not at all","Not at all","m5s","Far right",2,"63>","North","Elementary","Very low"
"131",4,2,2,4,2,3,3,4,2,3,"Changing","Not worried","Equally","Likely","Likely","Unlikely","Likely","A great deal","A bit","Little","A bit","csx","Center-right",2,"63-31","North","Superior","High"
"132",4,2,2,2,2,2,2,5,5,3,"Changing","Not worried","Natural","Very unlikely","Very unlikely","Unlikely","Unlikely","A lot","Neutral","A bit","A bit","cdx","Center-right",1,"63-31","Center","Superior","Low"
"133",5,2,1,55,1,1,1,4,1,1,"Changing","Worried","Anthropic","Very likely","Very likely","Very likely","Very likely","Some","Neutral","Very little","Very little","csx","Left",1,"63-31","South/Isles","High school","Very low"
"134",4,1,1,5,1,1,1,4,4,1,"Changing","Moderately worried","Equally","Possible","Likely","Likely","Possible","A lot","Little","Very little","Little","dx","Center-right",2,"63>","North","Elementary","Medium"
"135",5,4,4,5,1,1,5,4,2,2,"Changing","Moderately worried","Equally","Very unlikely","Possible","Unlikely","Very unlikely","A great deal","Not at all","Not at all","Not at all","dx","Right",1,"63-31","Center","Superior","Low"
